date,last,bid,ask
1/31/2019,2704.1,2674.15,2730.21
1/30/2019,2681.05,2650.48,2712.87
1/29/2019,2640,2617.81,2674.72
1/28/2019,2643.85,2602.59,2671.08
1/25/2019,2664.76,2630.13,2688.82
1/24/2019,2642.33,2598.41,2663.61
1/23/2019,2638.7,2603.31,2670.63
1/22/2019,2632.9,2595.57,2660.86
1/18/2019,2670.71,2633.02,2697.01
1/17/2019,2635.96,2596.33,2665.76
1/16/2019,2616.1,2579.83,2644.31
1/15/2019,2610.3,2572.16,2641.69
1/14/2019,2582.61,2549.18,2615.07
1/11/2019,2596.26,2557.48,2623.53
1/10/2019,2596.64,2557.98,2627.47
1/9/2019,2584.96,2537.19,2623.09
1/8/2019,2574.41,2531.15,2610.52
1/7/2019,2549.69,2509.77,2591.75
1/4/2019,2531.94,2487.8,2566.52
1/3/2019,2447.89,2418.09,2502.34
1/2/2019,2510.03,2442.55,2529
12/31/2018,2506.85,2470.94,2551.42
12/28/2018,2485.74,2442.85,2541.3
12/27/2018,2488.83,2424.49,2535.85
12/26/2018,2467.7,2422.83,2509.28
12/24/2018,2351.1,2299.7,2405.24
12/21/2018,2416.62,2387.15,2471.29
12/20/2018,2467.42,2444.87,2532.33
12/19/2018,2506.96,2470.75,2547.94
12/18/2018,2546.16,2501.27,2581.25
12/17/2018,2545.94,2519.44,2602.15
12/14/2018,2599.95,2568.5,2639.87
12/13/2018,2650.54,2613.38,2676.39
12/12/2018,2651.07,2617.49,2686.09
12/11/2018,2636.78,2591.47,2676.04
12/10/2018,2637.72,2606.2,2682.5
12/7/2018,2633.08,2605.52,2679.11
12/6/2018,2695.95,2659.4,2729.31
12/4/2018,2700.06,2673.87,2740.84
12/3/2018,2790.37,2750.98,2814.56
11/30/2018,2760.17,2724.19,2789.8
11/29/2018,2737.76,2710.06,2771.6
